input,defSolution,defExpanded,defFrontier,defTime,mhdSolution,mhdExpanded,mhdFrontier,mhdTime,sameSolution,betterSolution
"(5, 1, 3, 4, 6, 2, 0)","['ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2']",268,192,0.009222030639648438,"['ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2']",104,72,0.0020482540130615234,True,N/A
"(2, 5, 6, 1, 4, 3, 0)","['ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2']",112,89,0.0021920204162597656,"['ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2']",31,25,0.000438690185546875,True,N/A
"(2, 1, 4, 6, 5, 3, 0)","['ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",589,357,0.0391993522644043,"['ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1']",218,135,0.006231069564819336,False,Manhattan
"(6, 3, 1, 4, 2, 5, 0)","['ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2']",46,40,0.0006189346313476562,"['ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2']",60,46,0.0009546279907226562,True,N/A
"(2, 6, 5, 4, 3, 1, 0)","['ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",586,358,0.038454294204711914,"['ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",113,94,0.0024843215942382812,False,Default
"(6, 2, 1, 3, 4, 5, 0)","['ROW1', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",159,118,0.0036840438842773438,"['ROW1', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",49,35,0.000701904296875,True,N/A
"(3, 2, 4, 5, 1, 6, 0)","['ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1']",170,118,0.004046916961669922,"['ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2']",141,95,0.003193378448486328,False,Default
"(6, 4, 1, 5, 3, 2, 0)","['ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1']",185,140,0.004908561706542969,"['ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",80,61,0.0014400482177734375,False,Default
"(2, 5, 6, 4, 3, 1, 0)","['ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1']",215,161,0.0065805912017822266,"['ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",52,44,0.0008196830749511719,False,Default
"(3, 5, 1, 6, 4, 2, 0)","['ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",65,57,0.0010044574737548828,"['ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",40,35,0.0005884170532226562,True,N/A
"(1, 5, 6, 3, 2, 4, 0)","['ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1']",47,42,0.0006372928619384766,"['ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1']",12,11,0.0001780986785888672,True,N/A
"(1, 4, 2, 5, 6, 3, 0)","['ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1']",107,85,0.002059459686279297,"['ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",128,91,0.002830982208251953,False,Default
"(3, 4, 1, 2, 6, 5, 0)","['ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",116,88,0.0022535324096679688,"['ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",55,43,0.0008454322814941406,False,Default
"(1, 4, 5, 2, 3, 6, 0)","['ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",52,41,0.0007331371307373047,"['ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",41,34,0.0006139278411865234,True,N/A
"(1, 3, 2, 6, 4, 5, 0)","['ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",280,208,0.009836196899414062,"['ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",48,33,0.00069427490234375,True,N/A
"(6, 2, 3, 5, 1, 4, 0)","['ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",28,23,0.000324249267578125,"['ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",12,11,0.0001666545867919922,True,N/A
